image_name|comment;
1005216151.jpg| A man in a white t-shirt looks toward the camera surrounded by a crowd near a metro station .;
1005216151.jpg| A large crowd of people stand outside in front of the entrance to a Metro station .;
1005216151.jpg| A group of people are walking through a city street .;
1005216151.jpg| A crowd is portrayed near a metro station .;
1005216151.jpg| Crowd standing outside a metro area .;
1015584366.jpg| A mottled black and gray dog in a blue collar jumping over a fallen tree .;
1015584366.jpg| A gray dog is leaping over a fallen tree .;
1015584366.jpg| A large black dog leaps a fallen log .;
1015584366.jpg| The black dog jumped the tree stump .;
1015584366.jpg| A black dog leaps over a log .;
10160966.jpg| A barefooted man wearing olive green shorts grilling hotdogs on a small propane grill while holding a blue plastic cup .;
10160966.jpg| A guy in shorts and a white t-shirt sits on the ground in front of a grill with hotdogs on it .;
10160966.jpg| A young man in sunglasses holds a blue cup next to a grill with sausages .;
10160966.jpg| A young man  wearing a white shirt  prepares hotdogs on a small grill .;
10160966.jpg| A man is holding his cup while he grills hotdogs .;
1017675163.jpg| A young gymnast jumps high in the air , while performing on a balance beam .;
1017675163.jpg| A woman wearing an orange leotard doing gymnastics in front of an audience .;
1017675163.jpg| A gymnast performing on the balance beam in front of an audience .;
1017675163.jpg| The young gymnast 's supple body soars above the balance beam .;
1017675163.jpg| A gymnast is performing on the balance beam .;
103306033.jpg| A woman wearing a brown dress with a matching turban is pushing a toddler through a park in his stroller .;
103306033.jpg| Woman dressed in brown African attire pushing a toddler in a stroller .;
103306033.jpg| A woman is walking her baby with a stroller at the local park .;
103306033.jpg| The lady is pushing a child in a stroller .;
103306033.jpg| A woman pushes her baby in a stroller .;
1035019794.jpg| A person in a green outfit and helmet is swinging a baseball bat at a tennis ball in front of a fence .;
1035019794.jpg| A girl playing softball hits the ball almost directly downwards;
1035019794.jpg| A young girl is playing baseball and is striking out .;
1035019794.jpg| A girl hitting a softball but she missed the ball .;
1035019794.jpg| The batter missed the ball .;
104285082.jpg| A man with glasses is sitting a chair playing the oboe while a man in a purple shirt plays percussion and spectators look on .;
104285082.jpg| An older man with gray hair is sitting in a chair playing a large instrument made of bamboo .;
104285082.jpg| Gray-haired man in dress shirt plays the bassoon while reading sheet music from a stand;
104285082.jpg| A gray-haired man sitting in a chair playing a wind instrument among other musicians .;
104285082.jpg| A man playing a musical instrument .;
104816788.jpg| This little baby girl dressed whimsically in striped pantaloons is pictured so that one must ask which is bigger , her feet or her sleepy smile .;
104816788.jpg| A sleeping baby is in someone 's arms and wearing a pink striped outfit;
104816788.jpg| A sleeping baby in a pink striped outfit .;
104816788.jpg| A little baby cradled in someones arms .;
104816788.jpg| A little baby is wearing purple pants .;
106039369.jpg| One man wearing a white shirt is flipping a pancake by flinging it into the air .;
106039369.jpg| Man is flipping an omelet or pancake in the air , while in his kitchen .;
106039369.jpg| A man in a home kitchen is flipping a pancake extremely high .;
106039369.jpg| A guy flipping a pancake high into the air from a skillet .;
106039369.jpg| Man flipping pancake in kitchen while looking in awe .;
1066831905.jpg| Elderly man with cane bends down to look at some plants and is steadied from behind .;
1066831905.jpg| A man and a woman are standing behind an elderly man who is looking at a bush .;
1066831905.jpg| A man holds up an older man as the older man bends down to check out plants .;
1066831905.jpg| An older man in a white short-sleeve shirt admiring a bush .;
1066831905.jpg| Elderly man with a cane bends over near a man and woman .;
10751489.jpg| Two men are squatting with one man lighting a stick from a candle flame and the other man has his hands folded looking at the ground while a person wearing a bracelet has a phone to their ear .;
10751489.jpg| Two men are hunched down in front of candles in what appears to be a kind of vigil .;
10751489.jpg| At night , two men in glasses crouch near some plants .;
10751489.jpg| Two men squat to light candles at night .;
10751489.jpg| A man with glasses lighting a candle .;
108656820.jpg| A group of people are either standing or sitting , some are wearing hats and scarves , while some are not .;
108656820.jpg| A group of fourteen is assembled in a hall with dining tables and a stage .;
108656820.jpg| A large group of people mingling in a room with a tile floor .;
108656820.jpg| Lots of people in different costumes at some kind of party .;
108656820.jpg| A gathering of people standing by a stage .;
1087539207.jpg| Several children playing on a Polaris vehicle outdoors .;
1087539207.jpg| The children played on the four wheeler in the field .;
1087539207.jpg| A family playing on a tractor on a beautiful day;
1087539207.jpg| The four kids are riding on an ATV in a field .;
1087539207.jpg| Children ride a tractor in a field .;
1088385559.jpg| An older woman stir fries vegetables in a home kitchen , with a counter crowded with jars and bottles in the background .;
1088385559.jpg| An Indian woman in traditional clothing cooks vegetables on her stove .;
1088385559.jpg| An elderly woman is cooking dinner in a frying pan .;
1088385559.jpg| An elderly woman pan frying food in a kitchen .;
1088385559.jpg| A white-haired woman in cooking vegetables .;
108957912.jpg| People walk across a street as utility workers fix a light .;
108957912.jpg| Many people are crossing a street in a large city .;
108957912.jpg| People are crossing a city street intersection .;
108957912.jpg| Pedestrians cross the street at a red light .;
108957912.jpg| People crossing a city street .;
109741554.jpg| A man shovels snow off of a roof while another stands in the contraption that allowed them to reach the high place .;
109741554.jpg| Two men cleaning snow from a roof , one 's in a lifter , while the other is actually on the roof .;
109741554.jpg| A man shoveling snow off the roof of a building .;
109741554.jpg| Two people working on removing snow from a roof .;
109741554.jpg| Two men work to shovel snow from rooftops .;
1097463464.jpg| A young boy wearing a black shirt , brown pants and a black watch has his hand on a white folded chair which is on the top of a large stack of similar folding chairs .;
1097463464.jpg| A young man wearing a black shirt takes a folding chair from a large stack .;
1097463464.jpg| A person helping to set up chairs for a big event .;
1097463464.jpg| A young man in a black shirt stacks chairs .;
1097463464.jpg| A boy is setting up folding chairs .;
111069375.jpg| Two jugglers using flaming torches are performing for a crowd of people who are sitting on steps .;
111069375.jpg| A man and a woman are performing with fire in front of a crowd in an urban concrete park .;
111069375.jpg| A male and female fire performer , work their craft in front of an audience .;
111069375.jpg| Street performers being watched by an interested crowd .;
111069375.jpg| Two people performing tricks with fire for a crowd .;
111201721.jpg| A young boy in a yellow shirt is jumping in a grassy area with a younger boy , in a white shirt , standing behind him .;
111201721.jpg| A young boy in a white shirt is following his brother outside .;
111201721.jpg| Two young children are walking through a wooded area .;
111201721.jpg| Two children running with no shoes on .;
111201721.jpg| Two young children playing outside .;
112220869.jpg| Blond girl in a yellow-belt martial arts uniform standing in front of a door and carrying a large trophy .;
112220869.jpg| A young girl smiles for the camera while holding a large trophy .;
112220869.jpg| A girl in a white outfit with a yellow belt is holding a trophy .;
112220869.jpg| A young girl in a karate uniform holding a large trophy .;
112220869.jpg| Little girl holding a karate trophy .;
112264837.jpg| A man in a suit reading a from a piece of paper in front of a nude sculpture .;
112264837.jpg| The man in the suit is standing near the naked sculpture .;
112264837.jpg| A man wearing a red tie standing in front of a statue .;
112264837.jpg| A man standing beside the back of a nude statue .;
112264837.jpg| A man is looking at a piece of paper .;
1130369873.jpg| A brown dog swims through water outdoors with a tennis ball in its mouth .;
1130369873.jpg| A red dog , holding a ball , splashes through vegetation filled water .;
1130369873.jpg| A brown dog is running through neck-deep water carrying a tennis ball .;
1130369873.jpg| A brown dog splashes in the water while carrying a ball in its mouth .;
1130369873.jpg| Brown dog with tennis ball in mouth , in water and bushes .;
1145722716.jpg| Three male figures of different ages stand next to some rocks as they are dwarfed by a large upright wooden cross .;
1145722716.jpg| Two young men clutch rags in their hands as a elderly man tells them how to clean the large cross .;
1145722716.jpg| Two younger boys are standing in front of an older man in front of a large wooden cross .;
1145722716.jpg| Two young men and an older man are standing in front of a big wooden cross .;
1145722716.jpg| Two men listening intently to a local underneath a landmark .;
1151466868.jpg| A young girl wears a shirt and shorts as she plays in the ocean 's surf .;
1151466868.jpg| A small girl spins in the waves in the bright sun .;
1151466868.jpg| Girl running through the water near the shore .;
1151466868.jpg| The little girl splashes through the water .;
1151466868.jpg| A young girl plays in shallow water .;
115275671.jpg| A man with a pitchfork stands near a bucket of branches across from an apartment complex .;
115275671.jpg| A man in a hat and coat is holding a pitchfork and posing for a picture .;
115275671.jpg| A man in a blue jacket and gray paints gardening in front of buildings .;
115275671.jpg| A man landscaping an area for preparation to the upcoming season .;
115275671.jpg| A Caucasian male is performing yard work outside a building .;
1159574340.jpg| A child jumping into a lake in a wooded area while another child plays on the shore .;
1159574340.jpg| The man takes a leap into the water with his shoes on .;
1159574340.jpg| A child jumps into the water with his sneakers on .;
1159574340.jpg| Little boy in sneakers jumping into water .;
1159574340.jpg| A kid jumping into a pool of water .;
1176580356.jpg| The brown and black dog is jumping up to catch a red ball .;
1176580356.jpg| A brown and black dog is jumping to catch a red ball .;
1176580356.jpg| A brown and black dog jumps for a red ball .;
1176580356.jpg| Dog jumps to get orange ball on his head .;
1176580356.jpg| A big dog catches a ball on his nose;
1184340890.jpg| A family coming back from shopping and a gentlemen is reading his newspaper to the side of the street .;
1184340890.jpg| Three men and two women walk down an outdoor hallway past a man sitting on a step reading a newspaper .;
1184340890.jpg| An old man is sitting on a stoop while people walk towards him with groceries .;
1184340890.jpg| An old man is reading the paper despite crushing feelings of loneliness .;
1184340890.jpg| A group of people walks home carrying plastic shopping bags .;
118647903.jpg| Two soccer players , one wearing a white uniform and the other in red , try to reach the soccer ball first .;
118647903.jpg| A soccer player in a red uniform goes after the ball , fending off a player in white .;
118647903.jpg| Two soccer players , one in red , the other in white , racing towards a soccer ball .;
118647903.jpg| Two male soccer players on opposing teams are trying to get the soccer ball .;
118647903.jpg| Two football players chase after a the ball .;
1186603607.jpg| Eleven men and women in cotton shirts and denim pants walk uphill along a shaded forest trail .;
1186603607.jpg| A small group of people hikes through a forest during the day .;
1186603607.jpg| A group of people dressed casually are walking in the woods .;
1186603607.jpg| A group of people walking up a trail in a wooded area .;
1186603607.jpg| A group of people walking down a trail in the woods .;
1193116658.jpg| A young girl rides a unicycle next to another riding a scooter on a busy street .;
1193116658.jpg| The girl on the unicycle reaches out for the child on the scooter .;
1193116658.jpg| A girl rides a unicycle as another rides a scooter next to her .;
1193116658.jpg| A girl rides a unicycle with a child who rides a scooter .;
1193116658.jpg| There is a girl on a unicycle and a child on a scooter .;
1198194316.jpg| A man in a black shirt and jeans walks beside a woman in black pants and a flowery shirt in front of a refreshment stand with others walking nearby .;
1198194316.jpg| A woman with a floral shirt and purse and a man with a black shirt are walking while another man walks behind them .;
1198194316.jpg| A man and woman standing in front of a refreshment stand;
1198194316.jpg| a couple walking along on a sidewalk;
1198194316.jpg| A man and a woman walk outside .;
1206506157.jpg| Two dogs are playing rough in a green field of grass .;
1206506157.jpg| On grass , two brown dogs tussle for orange toy .;
1206506157.jpg| Two dogs play with an orange toy in tall grass .;
1206506157.jpg| Two large brown dogs are playing in the grass .;
1206506157.jpg| Dogs fight in grass over toy .;
1227655020.jpg| A brown dog and a black dog are standing against each other in some grass;
1227655020.jpg| A black dog and a brown dog playing in tall weeds .;
1227655020.jpg| Two dogs wrestle together in the long grass .;
1227655020.jpg| Two dogs are playing outside in a field .;
1227655020.jpg| Two dogs play in tall grass .;
122958692.jpg| A man in white playing tennis is still in midair after jumping to hit the ball .;
122958692.jpg| A male tennis player , wearing a white headband , misses an in-bounds ball .;
122958692.jpg| Tennis player uses backhand in a match , possibly a doubles match .;
122958692.jpg| A man in a white shirt is playing tennis .;
122958692.jpg| Missed that point by a landslide .;
123244147.jpg| A constructions site on the side of the mountain with a bulldozer digging in the ground that is all dirt;
123244147.jpg| A tractor is moving dirt to help build up a retaining wall .;
123244147.jpg| A construction vehicle on a hill of dirt .;
123244147.jpg| This machine is working in the dirt .;
123244147.jpg| A yellow tractor sits on a hillside .;
123315267.jpg| Two men are wrestling , one has the other pinned to the floor and the man on the floor is wincing in pain .;
123315267.jpg| One man in a red shirt has another man wearing a gray shirt , pinned down on a blue mat .;
123315267.jpg| A man in a red shirt pins a younger man in a white shirt to a blue padded mat .;
123315267.jpg| A man in a red shirt referees a wrestling match .;
123315267.jpg| Two men practicing MMA submission holds;
1238084765.jpg| A man in blue shirt with a spatula is bending over to pick something up while grilling , as another man in red and black rain jacket leans on grill and watches .;
1238084765.jpg| Two guys barbecuing , one in blue shirt bending down , while the other in black shorts stands facing his back to the camera .;
1238084765.jpg| Two men barbecuing , one dropping something on the ground .;
1238084765.jpg| two men are hanging out and grilling;
1238084765.jpg| Two men grilling outside .;
124488273.jpg| A group of people with bikes looking in the direction another young person is pointing .;
124488273.jpg| A series of men taking a break from riding their motorcycles .;
124488273.jpg| A group of standing moped riders look off into the distance .;
124488273.jpg| Men and women on bikes stop to look at something .;
124488273.jpg| People on their motorcycles on a sidewalk .;
1245022983.jpg| A child in all pink is posing nearby a stroller with buildings in the distance .;
1245022983.jpg| A little girl in pink dances with her hands on her hips .;
1245022983.jpg| The girl in a bright pink skirt dances near a stroller .;
1245022983.jpg| The little girl in pink has her hands on her hips .;
1245022983.jpg| A small girl wearing pink dances on the sidewalk .;
124534466.jpg| A woman in a blue jacket is bending down and holding out her arms for a little boy .;
124534466.jpg| A young boy in a black jacket is running towards a woman with outstretched arms .;
124534466.jpg| A woman in blue and pink reaching out for a hug from the blond-haired boy;
124534466.jpg| A woman wearing a blue jacket reaching out to a child .;
124534466.jpg| Blond boy running into a blond woman 's arms .;
1267711451.jpg| a black and white dog walking through the grass with a long stick in his mouth .;
1267711451.jpg| A dog trots across the ground with a large stick in his mouth .;
1267711451.jpg| A black and white dog is carrying a stick in its mouth .;
1267711451.jpg| A black and white dog carrying a large stick;
